simple,past,gerund, pp
reach,reached,reaching
involve,involved,involving
want,wanted,wanting
collect,collected,collecting
affect,affected,affecting
dismiss,dismissed,dismissing
sue,sued,suing
grant,granted,granting
adjourn, adjourned, adjourning
recess, recessed, recessing
bring,brought,bringing,
give,gave,giving,given
take,took,taking,taken
ask,asked,asking
answer,answered,answering
challenge,challenged,challenging,
understand,understood,understanding,
argue,argued,arguing
add,added,adding
reduce,reduced,reducing
finish,finished,finishing
find, found, finding
like,liked,liking
proceed,proceeded,proceeding
start,started,starting
end,ended,ending
convict,convicted,convicting
raise,raised,raising
help,helped,helping,
maintain,maintained,maintaining
request,requested,requesting
commit,committed,committing
comply,complied,complying
show,showed,shown,showing
say,said,saying
tell,told,telling
interrupt,interrupted,interrupting
hear,heard,hearing
explain,explained,explaining
disregard,disregarded,disregarding
follow,followed,following
reserve,reserved,reserving
close,closed,closing
open,opened,opening
set,setting
build,built,building
claim,claimed,claiming
expect,expected,expecting
support,supported,supporting
look,looked,looking
suggest,suggested,suggesting
describe,described,describing
impose,imposed,imposing
permit,permitted,permitting
allow,allowed,allowing
consider,considered,considering
ignore,ignored,ignoring
notice, noticed, noticing
pay,paid, paying
focus,focused,focusing
see,seemed,seeming
carry,carried,carrying
assume,assumed,assuming
imply,implied,implying
infer,inferred,inferring
comment,commented,commenting
request,requested,requesting
drawn,drawn,drawing
break,broke,broken,breaking
stop,stopped,stopping
please,pleased,pleasing
attend,attended,attending
leave,left,leaving
know,knew,knowing,known
feel,felt,following
search,searched,searching
follow,followed,following
develop,developed,developing
prevent,prevented,preventing
choose,chose,chosen,choosing
consider,considered,considering
mean,meaning,meant
seem,seemed,seeming
provide,provided,providing
think,thought,thinking
respond,responded,responding
present,presented,presenting
impose,imposed,imposing
agree,agreed,agreeing
disagree,disagreed,disagreeing
determine,determined,determining
decide,decided,deciding
depend,depended,depending
assert,asserted,asserting
authorize,authorized,authorizing
accept,accepted,accepting
reject,rejected,rejecting
address,addressed,addressing
apply,applied,applying
call,called,calling
cause,caused,causing
change,changed,changing
complete,completed,completing
exist,existed,existing
